session_id,time_seconds,percent,angle
166,3.721995,39.0,47.11934
166,3.817431,40.0,34.038288
166,3.912867,41.0,21.574414
166,4.008302,42.0,11.734945
166,4.103738,43.0,6.228662
166,4.199174,44.0,6.970201
166,4.29461,45.0,14.961116
166,4.390045,46.0,35.818185
166,4.485481,47.0,70.078688
166,4.580917,48.0,86.294004
166,4.676353,49.0,77.186101
166,4.771789,50.0,69.149667
166,4.867224,51.0,64.588232
166,4.96266,52.0,50.002687
166,5.058096,53.0,34.749792
166,5.153532,54.0,19.455643
166,5.248967,55.0,10.625811
166,5.344403,56.0,7.692255
166,5.439839,57.0,21.016076
166,5.535275,58.0,58.373133
166,5.63071,59.0,81.136752
166,5.726146,60.0,78.830996
166,5.821582,61.0,67.179748
166,5.917018,62.0,59.533661
166,6.012454,63.0,45.779634
166,6.107889,64.0,31.780622
166,6.203325,65.0,17.901319
166,6.298761,66.0,8.60218
166,6.394197,67.0,4.596523
166,6.489632,68.0,4.480954
166,6.585068,69.0,6.101727
166,6.680504,70.0,18.306793
166,6.77594,71.0,49.809658
166,6.871375,72.0,75.560071
166,6.966811,73.0,80.303863
166,7.062247,74.0,69.048927
166,7.157683,75.0,62.272083
166,7.253119,76.0,57.000178
166,7.348554,77.0,46.056262
166,7.44399,78.0,36.402701
166,7.539426,79.0,26.115335
166,7.634862,80.0,15.035208
166,7.730297,81.0,10.375546
166,7.825733,82.0,19.14987
166,7.921169,83.0,46.290578
166,8.016605,84.0,66.488144
166,8.11204,85.0,72.451211
166,8.207476,86.0,62.991246
166,8.302912,87.0,31.704649
166,8.398348,88.0,5.071827
166,8.493784,89.0,1.195773
166,8.589219,90.0,1.425293
166,8.684655,91.0,2.172434
166,8.780091,92.0,1.879787
166,8.875527,93.0,0.823734
166,8.970962,94.0,0.318027
166,9.066398,95.0,0.621025
166,9.161834,96.0,1.022022
166,9.25727,97.0,2.883578
166,9.352705,98.0,5.364515
166,9.448141,99.0,8.196579
166,9.543577,100.0,12.02
167,0.0,0.0,13.0
167,0.095436,1.0,29.13184
167,0.190872,2.0,53.516175
167,0.286307,3.0,75.783352
167,0.381743,4.0,83.98765
167,0.477179,5.0,84.956125
167,0.572615,6.0,73.087914
167,0.66805,7.0,73.423132
167,0.763486,8.0,70.655195
167,0.858922,9.0,60.936144
167,0.954358,10.0,45.89
167,1.049793,11.0,31.602884
167,1.145229,12.0,19.455366
167,1.240665,13.0,11.484846
167,1.336101,14.0,9.4396
167,1.431537,15.0,12.138
167,1.526972,16.0,15.335393
167,1.622408,17.0,42.087094
167,1.717844,18.0,75.067218
167,1.81328,19.0,86.98595
167,1.908715,20.0,81.534737
167,2.004151,21.0,79.17735
167,2.099587,22.0,80.784132
167,2.195023,23.0,74.881558
167,2.290458,24.0,58.607993
