percent,mean_angle,smooth_angle,sd_angle,mean_minus_sd,mean_plus_sd,n_sessions
38.0,65.734424,62.484766,15.340325,50.394099,81.074749,26
39.0,53.483063,52.547292,18.731102,34.751961,72.214165,26
40.0,40.857609,42.107518,19.293824,21.563785,60.151434,26
41.0,29.142169,32.637795,18.160759,10.98141,47.302927,26
42.0,21.320327,27.197245,15.65513,5.665197,36.975457,26
43.0,18.385808,27.435852,11.809837,6.575971,30.195645,26
44.0,26.280313,33.429132,16.875024,9.405289,43.155337,26
45.0,42.050645,43.659477,25.860464,16.190181,67.911109,26
46.0,59.108568,55.349218,29.703092,29.405476,88.811661,26
47.0,72.472053,65.301663,25.043849,47.428204,97.515902,26
48.0,76.83451,71.161659,21.025888,55.808622,97.860398,26
49.0,76.042539,72.295035,18.510547,57.531992,94.553085,26
50.0,71.350628,68.766769,14.438584,56.912044,85.789212,26
51.0,64.775448,61.930986,14.714929,50.060519,79.490378,26
52.0,54.830721,52.92616,19.385746,35.444976,74.216467,26
53.0,42.655593,43.515346,20.718177,21.937416,63.37377,26
54.0,31.018411,35.417253,20.07413,10.944281,51.092541,26
55.0,24.296556,30.49895,18.796356,5.5002,43.092912,26
56.0,24.284985,30.546894,20.065597,4.219388,44.350583,26
57.0,30.239207,36.000185,24.669858,5.569349,54.909065,26
58.0,42.89531,45.70551,28.050507,14.844803,70.945816,26
59.0,58.284868,56.636713,24.76117,33.523698,83.046038,26
60.0,72.823179,65.62164,22.455174,50.368005,95.278353,26
61.0,78.941003,70.792682,21.859852,57.081152,100.800855,26
62.0,75.16384,71.603369,20.507941,54.655899,95.671781,26
63.0,68.750519,67.784341,19.656527,49.093993,88.407046,26
64.0,62.338304,60.577197,19.714518,42.623786,82.052823,26
65.0,53.728039,52.13424,20.809376,32.918663,74.537414,26
66.0,42.905283,43.8617,23.058828,19.846455,65.964111,26
67.0,32.949056,37.03439,21.563152,11.385903,54.512208,26
68.0,27.387816,33.074474,19.666902,7.720914,47.054718,26
69.0,28.201755,33.426826,22.646683,5.555072,50.848437,26
70.0,33.92846,38.294065,26.625238,7.303222,60.553698,26
71.0,44.667045,47.216841,26.67011,17.996936,71.337155,26
72.0,57.285247,56.887266,23.399685,33.885562,80.684932,26
73.0,72.001696,64.794121,20.607747,51.393949,92.609444,26
74.0,76.55388,69.575244,20.809593,55.744287,97.363474,26
75.0,73.462736,70.466776,20.102099,53.360637,93.564835,26
76.0,68.572663,66.713408,21.738653,46.83401,90.311315,26
77.0,61.742906,60.136019,20.419004,41.323903,82.16191,26
78.0,53.234855,52.453172,20.561894,32.672961,73.796749,26
79.0,43.666934,44.429851,21.438987,22.227947,65.105921,26
80.0,35.048503,37.703698,21.758573,13.289931,56.807076,26
81.0,28.456054,33.476463,21.603023,6.853031,50.059077,26
82.0,28.112145,32.361909,23.508739,4.603406,51.620885,26
83.0,32.098678,34.847334,25.521841,6.576836,57.620519,26
84.0,38.094166,40.143233,25.829222,12.264944,63.923388,26
85.0,47.475626,46.00971,25.04427,22.431356,72.519896,26
86.0,54.935552,49.788479,25.986603,28.948949,80.922155,26
87.0,57.44453,49.699959,28.622653,28.821877,86.067183,26
88.0,50.992523,44.875922,31.213294,19.77923,82.205817,26
89.0,37.651566,36.988354,27.759951,9.891615,65.411517,26
90.0,23.355438,28.028554,20.014352,3.341086,43.36979,26
91.0,15.497711,20.308083,16.806512,-1.308801,32.304222,26
92.0,12.645531,15.297961,15.419182,-2.773652,28.064713,26
93.0,12.39017,13.178503,17.449153,-5.058983,29.839323,26
94.0,12.600954,12.53384,18.133183,-5.532228,30.734137,26
95.0,12.758151,12.346814,18.471837,-5.713686,31.229988,26
96.0,12.274394,12.071157,17.482169,-5.207774,29.756563,26
97.0,11.7104,11.648921,14.364453,-2.654053,26.074853,26
98.0,11.011884,11.285829,10.060588,0.951296,21.072472,26
99.0,10.489776,11.038688,7.866169,2.623607,18.355945,26
100.0,10.942692,10.814784,8.08197,2.860722,19.024663,26
