session_id,repetition_no,time_seconds,percent,angle
126,1,0.496836,18.0,24.405402
126,1,0.524438,19.0,25.140701
126,1,0.55204,20.0,25.876
126,1,0.579642,21.0,26.695898
126,1,0.607244,22.0,28.643795
126,1,0.634846,23.0,30.591705
126,1,0.662448,24.0,33.084403
126,1,0.69005,25.0,35.764375
126,1,0.717652,26.0,38.444347
126,1,0.745254,27.0,41.748891
126,1,0.772856,28.0,45.237905
126,1,0.800458,29.0,47.150327
126,1,0.82806,30.0,49.06275
126,1,0.855662,31.0,50.975173
126,1,0.883264,32.0,57.525298
126,1,0.910866,33.0,64.111702
126,1,0.938468,34.0,70.036305
126,1,0.96607,35.0,74.251375
126,1,0.993672,36.0,78.466445
126,1,1.021274,37.0,82.760786
126,1,1.048876,38.0,87.420498
126,1,1.076478,39.0,91.415944
126,1,1.10408,40.0,93.579917
126,1,1.131682,41.0,95.743889
126,1,1.159284,42.0,97.918522
126,1,1.186886,43.0,100.146973
126,1,1.214488,44.0,102.375409
126,1,1.24209,45.0,104.18125
126,1,1.269692,46.0,105.890498
126,1,1.297294,47.0,107.599746
126,1,1.324896,48.0,110.574009
126,1,1.352498,49.0,113.719237
126,1,1.3801,50.0,115.127395
126,1,1.407702,51.0,116.535553
126,1,1.435304,52.0,117.954502
126,1,1.462906,53.0,119.485498
126,1,1.490508,54.0,121.016485
126,1,1.51811,55.0,121.99
126,1,1.545712,56.0,122.763999
126,1,1.573314,57.0,123.537998
126,1,1.600916,58.0,124.016801
126,1,1.628518,59.0,124.3264
126,1,1.65612,60.0,124.47
126,1,1.683722,61.0,124.24425
126,1,1.711324,62.0,124.018501
126,1,1.738926,63.0,123.763049
126,1,1.766528,64.0,123.3954
126,1,1.79413,65.0,122.346333
126,1,1.821732,66.0,120.944535
126,1,1.849334,67.0,119.542737
126,1,1.876936,68.0,117.903815
126,1,1.904538,69.0,115.111685
126,1,1.93214,70.0,112.319556
126,1,1.959742,71.0,109.527426
126,1,1.987344,72.0,105.727211
126,1,2.014946,73.0,101.226085
126,1,2.042548,74.0,95.201792
126,1,2.07015,75.0,89.1775
126,1,2.097752,76.0,83.530207
126,1,2.125354,77.0,77.973539
126,1,2.152956,78.0,72.416836
126,1,2.180558,79.0,67.440294
126,1,2.20816,80.0,62.706
126,1,2.235762,81.0,58.513154
126,1,2.263364,82.0,55.204308
126,1,2.290966,83.0,51.895442
126,1,2.318568,84.0,48.161794
126,1,2.34617,85.0,43.33075
126,1,2.373772,86.0,40.969552
126,1,2.401374,87.0,39.527979
126,1,2.428976,88.0,38.086396
126,1,2.456578,89.0,37.174699
126,1,2.48418,90.0,36.577
126,1,2.511782,91.0,36.12295
126,1,2.539384,92.0,36.0004
126,1,2.566986,93.0,35.87785
126,1,2.594588,94.0,35.737533
126,1,2.62219,95.0,35.526833
126,1,2.649792,96.0,35.316134
126,1,2.677394,97.0,35.34198
126,1,2.704996,98.0,35.40132
126,1,2.732598,99.0,35.46066
126,1,2.7602,100.0,35.52
126,2,0.0,0.0,35.52
126,2,0.027602,1.0,35.391
126,2,0.055204,2.0,35.3828
126,2,0.082806,3.0,35.398089
126,2,0.110408,4.0,35.413378
126,2,0.13801,5.0,35.428667
126,2,0.165612,6.0,35.443956
126,2,0.193214,7.0,35.826713
126,2,0.220816,8.0,36.449731
126,2,0.248418,9.0,37.072754
126,2,0.27602,10.0,37.695778
126,2,0.303622,11.0,38.318801
126,2,0.331224,12.0,39.458808
126,2,0.358826,13.0,41.471192
126,2,0.386428,14.0,43.513995
126,2,0.41403,15.0,46.18
126,2,0.441632,16.0,48.846005
126,2,0.469234,17.0,51.51201
126,2,0.496836,18.0,53.959591
126,2,0.524438,19.0,56.234296
126,2,0.55204,20.0,58.509
126,2,0.579642,21.0,60.783704
126,2,0.607244,22.0,63.058409
126,2,0.634846,23.0,66.039855
126,2,0.662448,24.0,69.093816
126,2,0.69005,25.0,72.147778
126,2,0.717652,26.0,75.201739
126,2,0.745254,27.0,78.2557
126,2,0.772856,28.0,82.149984
126,2,0.800458,29.0,86.449992
126,2,0.82806,30.0,90.75
126,2,0.855662,31.0,95.399809
126,2,0.883264,32.0,100.155618
126,2,0.910866,33.0,103.695392
126,2,0.938468,34.0,105.699196
126,2,0.96607,35.0,107.703
126,2,0.993672,36.0,109.706804
126,2,1.021274,37.0,111.710608
126,2,1.048876,38.0,113.698526
126,2,1.076478,39.0,115.682263
126,2,1.10408,40.0,117.666
126,2,1.131682,41.0,119.408152
126,2,1.159284,42.0,120.592804
126,2,1.186886,43.0,121.777446
126,2,1.214488,44.0,122.962098
126,2,1.24209,45.0,124.14675
126,2,1.269692,46.0,125.291735
126,2,1.297294,47.0,126.415471
126,2,1.324896,48.0,127.539196
126,2,1.352498,49.0,128.558749
126,2,1.3801,50.0,129.0425
126,2,1.407702,51.0,129.526251
126,2,1.435304,52.0,130.010002
126,2,1.462906,53.0,130.493748
126,2,1.490508,54.0,130.6332
126,2,1.51811,55.0,130.444
126,2,1.545712,56.0,130.2548
