time_seconds,percent,standard_angle,mean_angle,sd_angle,cycle_duration_seconds
0.94582,86.0,8.796072,8.718321,3.09241,1.099791
0.956818,87.0,8.718306,8.666065,3.037086,1.099791
0.967816,88.0,8.683225,8.678636,2.968605,1.099791
0.978814,89.0,8.655859,8.690283,2.928691,1.099791
0.989812,90.0,8.615463,8.662817,2.888687,1.099791
1.00081,91.0,8.546204,8.581493,2.871673,1.099791
1.011808,92.0,8.446905,8.464087,2.876681,1.099791
1.022806,93.0,8.327564,8.332339,2.898645,1.099791
1.033804,94.0,8.201254,8.193788,2.93347,1.099791
1.044801,95.0,8.078997,8.066114,2.974628,1.099791
1.055799,96.0,7.964459,7.949941,3.039226,1.099791
1.066797,97.0,7.859163,7.852801,3.124557,1.099791
1.077795,98.0,7.760932,7.759651,3.251597,1.099791
1.088793,99.0,7.71368,7.667306,3.413889,1.099791
1.099791,100.0,7.667306,7.574961,3.606236,1.099791
